symptoms,diagnoses
"fever,nose","flu,cold,measles"
"chill,nose",flu
"fever,chill,nose",flu
"cough,nose","flu,cold,measles"
"fever,cough,nose","flu,cold,measles"
"chill,cough,nose",flu
"fever,chill,cough,nose",flu
"sore,nose","flu,cold"
"fever,sore,nose","flu,cold"
"chill,sore,nose",flu
"fever,chill,sore,nose",flu
"cough,sore,nose","flu,cold"
"fever,cough,sore,nose","flu,cold"
"chill,cough,sore,nose",flu
"fever,chill,cough,sore,nose",flu
"throat,nose","flu,cold"
"fever,throat,nose","flu,cold"
"chill,throat,nose",flu
"fever,chill,throat,nose",flu
"cough,throat,nose","flu,cold"
"fever,cough,throat,nose","flu,cold"
"chill,cough,throat,nose",flu
"fever,chill,cough,throat,nose",flu
"sore,throat,nose","flu,cold"
"fever,sore,throat,nose","flu,cold"
"chill,sore,throat,nose",flu
"fever,chill,sore,throat,nose",flu
"cough,sore,throat,nose","flu,cold"
"fever,cough,sore,throat,nose","flu,cold"
"chill,cough,sore,throat,nose",flu
"fever,chill,cough,sore,throat,nose",flu
"runny,nose","flu,cold,measles"
"fever,runny,nose","flu,cold,measles"
"chill,runny,nose",flu
"fever,chill,runny,nose",flu
"cough,runny,nose","flu,cold,measles"
"fever,cough,runny,nose","flu,cold,measles"
"chill,cough,runny,nose",flu
"fever,chill,cough,runny,nose",flu
"sore,runny,nose","flu,cold"
"fever,sore,runny,nose","flu,cold"
"chill,sore,runny,nose",flu
"fever,chill,sore,runny,nose",flu
"cough,sore,runny,nose","flu,cold"
"fever,cough,sore,runny,nose","flu,cold"
"chill,cough,sore,runny,nose",flu
"fever,chill,cough,sore,runny,nose",flu
"throat,runny,nose","flu,cold"
"fever,throat,runny,nose","flu,cold"
"chill,throat,runny,nose",flu
"fever,chill,throat,runny,nose",flu
"cough,throat,runny,nose","flu,cold"
"fever,cough,throat,runny,nose","flu,cold"
"chill,cough,throat,runny,nose",flu
"fever,chill,cough,throat,runny,nose",flu
"sore,throat,runny,nose","flu,cold"
"fever,sore,throat,runny,nose","flu,cold"
"chill,sore,throat,runny,nose",flu
"fever,chill,sore,throat,runny,nose",flu
"cough,sore,throat,runny,nose","flu,cold"
"fever,cough,sore,throat,runny,nose","flu,cold"
"chill,cough,sore,throat,runny,nose",flu
"fever,chill,cough,sore,throat,runny,nose",flu
stuffy,"flu,cold"
"fever,stuffy","flu,cold"
"chill,stuffy",flu
"fever,chill,stuffy",flu
"cough,stuffy","flu,cold"
"fever,cough,stuffy","flu,cold"
"chill,cough,stuffy",flu
"fever,chill,cough,stuffy",flu
"sore,stuffy","flu,cold"
"fever,sore,stuffy","flu,cold"
"chill,sore,stuffy",flu
"fever,chill,sore,stuffy",flu
"cough,sore,stuffy","flu,cold"
"fever,cough,sore,stuffy","flu,cold"
"chill,cough,sore,stuffy",flu
"fever,chill,cough,sore,stuffy",flu
"throat,stuffy","flu,cold"
"fever,throat,stuffy","flu,cold"
"chill,throat,stuffy",flu
"fever,chill,throat,stuffy",flu
"cough,throat,stuffy","flu,cold"
"fever,cough,throat,stuffy","flu,cold"
"chill,cough,throat,stuffy",flu
"fever,chill,cough,throat,stuffy",flu
"sore,throat,stuffy","flu,cold"
"fever,sore,throat,stuffy","flu,cold"
"chill,sore,throat,stuffy",flu
"fever,chill,sore,throat,stuffy",flu
"cough,sore,throat,stuffy","flu,cold"
"fever,cough,sore,throat,stuffy","flu,cold"
"chill,cough,sore,throat,stuffy",flu
"fever,chill,cough,sore,throat,stuffy",flu
"runny,stuffy","flu,cold"
"fever,runny,stuffy","flu,cold"
"chill,runny,stuffy",flu
"fever,chill,runny,stuffy",flu
"cough,runny,stuffy","flu,cold"
"fever,cough,runny,stuffy","flu,cold"
"chill,cough,runny,stuffy",flu
"fever,chill,cough,runny,stuffy",flu
"sore,runny,stuffy","flu,cold"
"fever,sore,runny,stuffy","flu,cold"
"chill,sore,runny,stuffy",flu
"fever,chill,sore,runny,stuffy",flu
"cough,sore,runny,stuffy","flu,cold"
"fever,cough,sore,runny,stuffy","flu,cold"
"chill,cough,sore,runny,stuffy",flu
"fever,chill,cough,sore,runny,stuffy",flu
"throat,runny,stuffy","flu,cold"
"fever,throat,runny,stuffy","flu,cold"
"chill,throat,runny,stuffy",flu
"fever,chill,throat,runny,stuffy",flu
"cough,throat,runny,stuffy","flu,cold"
"fever,cough,throat,runny,stuffy","flu,cold"
"chill,cough,throat,runny,stuffy",flu
"fever,chill,cough,throat,runny,stuffy",flu
"sore,throat,runny,stuffy","flu,cold"
"fever,sore,throat,runny,stuffy","flu,cold"
"chill,sore,throat,runny,stuffy",flu
"fever,chill,sore,throat,runny,stuffy",flu
"cough,sore,throat,runny,stuffy","flu,cold"
"fever,cough,sore,throat,runny,stuffy","flu,cold"
"chill,cough,sore,throat,runny,stuffy",flu
"fever,chill,cough,sore,throat,runny,stuffy",flu
"nose,stuffy","flu,cold"
"fever,nose,stuffy","flu,cold"
"chill,nose,stuffy",flu
"fever,chill,nose,stuffy",flu
"cough,nose,stuffy","flu,cold"
"fever,cough,nose,stuffy","flu,cold"
"chill,cough,nose,stuffy",flu
"fever,chill,cough,nose,stuffy",flu
"sore,nose,stuffy","flu,cold"
"fever,sore,nose,stuffy","flu,cold"
"chill,sore,nose,stuffy",flu
"fever,chill,sore,nose,stuffy",flu
"cough,sore,nose,stuffy","flu,cold"
"fever,cough,sore,nose,stuffy","flu,cold"
"chill,cough,sore,nose,stuffy",flu
"fever,chill,cough,sore,nose,stuffy",flu
"throat,nose,stuffy","flu,cold"
"fever,throat,nose,stuffy","flu,cold"
"chill,throat,nose,stuffy",flu
"fever,chill,throat,nose,stuffy",flu
"cough,throat,nose,stuffy","flu,cold"
"fever,cough,throat,nose,stuffy","flu,cold"
"chill,cough,throat,nose,stuffy",flu
"fever,chill,cough,throat,nose,stuffy",flu
"sore,throat,nose,stuffy","flu,cold"
"fever,sore,throat,nose,stuffy","flu,cold"
"chill,sore,throat,nose,stuffy",flu
"fever,chill,sore,throat,nose,stuffy",flu
"cough,sore,throat,nose,stuffy","flu,cold"
"fever,cough,sore,throat,nose,stuffy","flu,cold"
"chill,cough,sore,throat,nose,stuffy",flu
"fever,chill,cough,sore,throat,nose,stuffy",flu
"runny,nose,stuffy","flu,cold"
"fever,runny,nose,stuffy","flu,cold"
"chill,runny,nose,stuffy",flu
"fever,chill,runny,nose,stuffy",flu
"cough,runny,nose,stuffy","flu,cold"
"fever,cough,runny,nose,stuffy","flu,cold"
"chill,cough,runny,nose,stuffy",flu
"fever,chill,cough,runny,nose,stuffy",flu
"sore,runny,nose,stuffy","flu,cold"
"fever,sore,runny,nose,stuffy","flu,cold"
"chill,sore,runny,nose,stuffy",flu
"fever,chill,sore,runny,nose,stuffy",flu
"cough,sore,runny,nose,stuffy","flu,cold"
"fever,cough,sore,runny,nose,stuffy","flu,cold"
"chill,cough,sore,runny,nose,stuffy",flu
"fever,chill,cough,sore,runny,nose,stuffy",flu
"throat,runny,nose,stuffy","flu,cold"
"fever,throat,runny,nose,stuffy","flu,cold"
"chill,throat,runny,nose,stuffy",flu
"fever,chill,throat,runny,nose,stuffy",flu
"cough,throat,runny,nose,stuffy","flu,cold"
"fever,cough,throat,runny,nose,stuffy","flu,cold"
"chill,cough,throat,runny,nose,stuffy",flu
"fever,chill,cough,throat,runny,nose,stuffy",flu
"sore,throat,runny,nose,stuffy","flu,cold"
"fever,sore,throat,runny,nose,stuffy","flu,cold"
"chill,sore,throat,runny,nose,stuffy",flu
"fever,chill,sore,throat,runny,nose,stuffy",flu
"cough,sore,throat,runny,nose,stuffy","flu,cold"
"fever,cough,sore,throat,runny,nose,stuffy","flu,cold"
"chill,cough,sore,throat,runny,nose,stuffy",flu
"fever,chill,cough,sore,throat,runny,nose,stuffy",flu
ache,"flu,cold,smallpox,covid"
"fever,ache","flu,cold,smallpox,covid"
"chill,ache","flu,covid"
"fever,chill,ache","flu,covid"
"cough,ache","flu,cold,covid"
"fever,cough,ache","flu,cold,covid"
"chill,cough,ache","flu,covid"
"fever,chill,cough,ache","flu,covid"
"sore,ache","flu,cold,covid"
"fever,sore,ache","flu,cold,covid"
"chill,sore,ache","flu,covid"
"fever,chill,sore,ache","flu,covid"
"cough,sore,ache","flu,cold,covid"
"fever,cough,sore,ache","flu,cold,covid"
"chill,cough,sore,ache","flu,covid"
"fever,chill,cough,sore,ache","flu,covid"
"throat,ache","flu,cold,covid"
"fever,throat,ache","flu,cold,covid"
"chill,throat,ache","flu,covid"
"fever,chill,throat,ache","flu,covid"
"cough,throat,ache","flu,cold,covid"
"fever,cough,throat,ache","flu,cold,covid"
"chill,cough,throat,ache","flu,covid"
"fever,chill,cough,throat,ache","flu,covid"
"sore,throat,ache","flu,cold,covid"
"fever,sore,throat,ache","flu,cold,covid"
"chill,sore,throat,ache","flu,covid"
"fever,chill,sore,throat,ache","flu,covid"
"cough,sore,throat,ache","flu,cold,covid"
"fever,cough,sore,throat,ache","flu,cold,covid"
"chill,cough,sore,throat,ache","flu,covid"
"fever,chill,cough,sore,throat,ache","flu,covid"
"runny,ache","flu,cold"
"fever,runny,ache","flu,cold"
"chill,runny,ache",flu
"fever,chill,runny,ache",flu
"cough,runny,ache","flu,cold"
"fever,cough,runny,ache","flu,cold"
"chill,cough,runny,ache",flu
"fever,chill,cough,runny,ache",flu
"sore,runny,ache","flu,cold"
"fever,sore,runny,ache","flu,cold"
"chill,sore,runny,ache",flu
"fever,chill,sore,runny,ache",flu
"cough,sore,runny,ache","flu,cold"
"fever,cough,sore,runny,ache","flu,cold"
"chill,cough,sore,runny,ache",flu
"fever,chill,cough,sore,runny,ache",flu
"throat,runny,ache","flu,cold"
"fever,throat,runny,ache","flu,cold"
"chill,throat,runny,ache",flu
"fever,chill,throat,runny,ache",flu
"cough,throat,runny,ache","flu,cold"
"fever,cough,throat,runny,ache","flu,cold"
"chill,cough,throat,runny,ache",flu
"fever,chill,cough,throat,runny,ache",flu
"sore,throat,runny,ache","flu,cold"
"fever,sore,throat,runny,ache","flu,cold"
"chill,sore,throat,runny,ache",flu
"fever,chill,sore,throat,runny,ache",flu
"cough,sore,throat,runny,ache","flu,cold"
"fever,cough,sore,throat,runny,ache","flu,cold"
"chill,cough,sore,throat,runny,ache",flu
"fever,chill,cough,sore,throat,runny,ache",flu
"nose,ache","flu,cold"
"fever,nose,ache","flu,cold"
"chill,nose,ache",flu
"fever,chill,nose,ache",flu
"cough,nose,ache","flu,cold"
"fever,cough,nose,ache","flu,cold"
"chill,cough,nose,ache",flu
"fever,chill,cough,nose,ache",flu
"sore,nose,ache","flu,cold"
"fever,sore,nose,ache","flu,cold"
"chill,sore,nose,ache",flu
"fever,chill,sore,nose,ache",flu
"cough,sore,nose,ache","flu,cold"
"fever,cough,sore,nose,ache","flu,cold"
"chill,cough,sore,nose,ache",flu
"fever,chill,cough,sore,nose,ache",flu
"throat,nose,ache","flu,cold"
"fever,throat,nose,ache","flu,cold"
"chill,throat,nose,ache",flu
"fever,chill,throat,nose,ache",flu
"cough,throat,nose,ache","flu,cold"
"fever,cough,throat,nose,ache","flu,cold"
"chill,cough,throat,nose,ache",flu
"fever,chill,cough,throat,nose,ache",flu
"sore,throat,nose,ache","flu,cold"
"fever,sore,throat,nose,ache","flu,cold"
"chill,sore,throat,nose,ache",flu
"fever,chill,sore,throat,nose,ache",flu
"cough,sore,throat,nose,ache","flu,cold"
"fever,cough,sore,throat,nose,ache","flu,cold"
"chill,cough,sore,throat,nose,ache",flu
"fever,chill,cough,sore,throat,nose,ache",flu
"runny,nose,ache","flu,cold"
"fever,runny,nose,ache","flu,cold"
"chill,runny,nose,ache",flu
"fever,chill,runny,nose,ache",flu
"cough,runny,nose,ache","flu,cold"
"fever,cough,runny,nose,ache","flu,cold"
"chill,cough,runny,nose,ache",flu
"fever,chill,cough,runny,nose,ache",flu
"sore,runny,nose,ache","flu,cold"
"fever,sore,runny,nose,ache","flu,cold"
"chill,sore,runny,nose,ache",flu
"fever,chill,sore,runny,nose,ache",flu
"cough,sore,runny,nose,ache","flu,cold"
"fever,cough,sore,runny,nose,ache","flu,cold"
"chill,cough,sore,runny,nose,ache",flu
"fever,chill,cough,sore,runny,nose,ache",flu
"throat,runny,nose,ache","flu,cold"
"fever,throat,runny,nose,ache","flu,cold"
"chill,throat,runny,nose,ache",flu
"fever,chill,throat,runny,nose,ache",flu
"cough,throat,runny,nose,ache","flu,cold"
"fever,cough,throat,runny,nose,ache","flu,cold"
"chill,cough,throat,runny,nose,ache",flu
"fever,chill,cough,throat,runny,nose,ache",flu
"sore,throat,runny,nose,ache","flu,cold"
"fever,sore,throat,runny,nose,ache","flu,cold"
"chill,sore,throat,runny,nose,ache",flu
"fever,chill,sore,throat,runny,nose,ache",flu
"cough,sore,throat,runny,nose,ache","flu,cold"
"fever,cough,sore,throat,runny,nose,ache","flu,cold"
"chill,cough,sore,throat,runny,nose,ache",flu
"fever,chill,cough,sore,throat,runny,nose,ache",flu
"stuffy,ache","flu,cold"
"fever,stuffy,ache","flu,cold"
"chill,stuffy,ache",flu
"fever,chill,stuffy,ache",flu
"cough,stuffy,ache","flu,cold"
"fever,cough,stuffy,ache","flu,cold"
"chill,cough,stuffy,ache",flu
"fever,chill,cough,stuffy,ache",flu
"sore,stuffy,ache","flu,cold"
"fever,sore,stuffy,ache","flu,cold"
"chill,sore,stuffy,ache",flu
"fever,chill,sore,stuffy,ache",flu
"cough,sore,stuffy,ache","flu,cold"
"fever,cough,sore,stuffy,ache","flu,cold"
"chill,cough,sore,stuffy,ache",flu
"fever,chill,cough,sore,stuffy,ache",flu
"throat,stuffy,ache","flu,cold"
"fever,throat,stuffy,ache","flu,cold"
"chill,throat,stuffy,ache",flu
"fever,chill,throat,stuffy,ache",flu
"cough,throat,stuffy,ache","flu,cold"
"fever,cough,throat,stuffy,ache","flu,cold"
"chill,cough,throat,stuffy,ache",flu
"fever,chill,cough,throat,stuffy,ache",flu
"sore,throat,stuffy,ache","flu,cold"
"fever,sore,throat,stuffy,ache","flu,cold"
"chill,sore,throat,stuffy,ache",flu
"fever,chill,sore,throat,stuffy,ache",flu
"cough,sore,throat,stuffy,ache","flu,cold"
"fever,cough,sore,throat,stuffy,ache","flu,cold"
"chill,cough,sore,throat,stuffy,ache",flu
"fever,chill,cough,sore,throat,stuffy,ache",flu
"runny,stuffy,ache","flu,cold"
"fever,runny,stuffy,ache","flu,cold"
"chill,runny,stuffy,ache",flu
"fever,chill,runny,stuffy,ache",flu
"cough,runny,stuffy,ache","flu,cold"
"fever,cough,runny,stuffy,ache","flu,cold"
"chill,cough,runny,stuffy,ache",flu
"fever,chill,cough,runny,stuffy,ache",flu
"sore,runny,stuffy,ache","flu,cold"
"fever,sore,runny,stuffy,ache","flu,cold"
"chill,sore,runny,stuffy,ache",flu
"fever,chill,sore,runny,stuffy,ache",flu
"cough,sore,runny,stuffy,ache","flu,cold"
"fever,cough,sore,runny,stuffy,ache","flu,cold"
"chill,cough,sore,runny,stuffy,ache",flu
"fever,chill,cough,sore,runny,stuffy,ache",flu
"throat,runny,stuffy,ache","flu,cold"
"fever,throat,runny,stuffy,ache","flu,cold"
"chill,throat,runny,stuffy,ache",flu
"fever,chill,throat,runny,stuffy,ache",flu
"cough,throat,runny,stuffy,ache","flu,cold"
"fever,cough,throat,runny,stuffy,ache","flu,cold"
"chill,cough,throat,runny,stuffy,ache",flu
"fever,chill,cough,throat,runny,stuffy,ache",flu
"sore,throat,runny,stuffy,ache","flu,cold"
"fever,sore,throat,runny,stuffy,ache","flu,cold"
"chill,sore,throat,runny,stuffy,ache",flu
"fever,chill,sore,throat,runny,stuffy,ache",flu
"cough,sore,throat,runny,stuffy,ache","flu,cold"
"fever,cough,sore,throat,runny,stuffy,ache","flu,cold"
"chill,cough,sore,throat,runny,stuffy,ache",flu
"fever,chill,cough,sore,throat,runny,stuffy,ache",flu
"nose,stuffy,ache","flu,cold"
"fever,nose,stuffy,ache","flu,cold"
"chill,nose,stuffy,ache",flu
"fever,chill,nose,stuffy,ache",flu
"cough,nose,stuffy,ache","flu,cold"
"fever,cough,nose,stuffy,ache","flu,cold"
"chill,cough,nose,stuffy,ache",flu
"fever,chill,cough,nose,stuffy,ache",flu
"sore,nose,stuffy,ache","flu,cold"
"fever,sore,nose,stuffy,ache","flu,cold"
"chill,sore,nose,stuffy,ache",flu
"fever,chill,sore,nose,stuffy,ache",flu
"cough,sore,nose,stuffy,ache","flu,cold"
"fever,cough,sore,nose,stuffy,ache","flu,cold"
"chill,cough,sore,nose,stuffy,ache",flu
"fever,chill,cough,sore,nose,stuffy,ache",flu
"throat,nose,stuffy,ache","flu,cold"
"fever,throat,nose,stuffy,ache","flu,cold"
"chill,throat,nose,stuffy,ache",flu
"fever,chill,throat,nose,stuffy,ache",flu
"cough,throat,nose,stuffy,ache","flu,cold"
"fever,cough,throat,nose,stuffy,ache","flu,cold"
"chill,cough,throat,nose,stuffy,ache",flu
"fever,chill,cough,throat,nose,stuffy,ache",flu
"sore,throat,nose,stuffy,ache","flu,cold"
"fever,sore,throat,nose,stuffy,ache","flu,cold"
"chill,sore,throat,nose,stuffy,ache",flu
"fever,chill,sore,throat,nose,stuffy,ache",flu
"cough,sore,throat,nose,stuffy,ache","flu,cold"
"fever,cough,sore,throat,nose,stuffy,ache","flu,cold"
"chill,cough,sore,throat,nose,stuffy,ache",flu
"fever,chill,cough,sore,throat,nose,stuffy,ache",flu
"runny,nose,stuffy,ache","flu,cold"
"fever,runny,nose,stuffy,ache","flu,cold"
"chill,runny,nose,stuffy,ache",flu
"fever,chill,runny,nose,stuffy,ache",flu
"cough,runny,nose,stuffy,ache","flu,cold"
"fever,cough,runny,nose,stuffy,ache","flu,cold"
"chill,cough,runny,nose,stuffy,ache",flu
"fever,chill,cough,runny,nose,stuffy,ache",flu
"sore,runny,nose,stuffy,ache","flu,cold"
"fever,sore,runny,nose,stuffy,ache","flu,cold"
"chill,sore,runny,nose,stuffy,ache",flu
"fever,chill,sore,runny,nose,stuffy,ache",flu
"cough,sore,runny,nose,stuffy,ache","flu,cold"
"fever,cough,sore,runny,nose,stuffy,ache","flu,cold"
"chill,cough,sore,runny,nose,stuffy,ache",flu
"fever,chill,cough,sore,runny,nose,stuffy,ache",flu
"throat,runny,nose,stuffy,ache","flu,cold"
"fever,throat,runny,nose,stuffy,ache","flu,cold"
"chill,throat,runny,nose,stuffy,ache",flu
"fever,chill,throat,runny,nose,stuffy,ache",flu
"cough,throat,runny,nose,stuffy,ache","flu,cold"
"fever,cough,throat,runny,nose,stuffy,ache","flu,cold"
"chill,cough,throat,runny,nose,stuffy,ache",flu
"fever,chill,cough,throat,runny,nose,stuffy,ache",flu
"sore,throat,runny,nose,stuffy,ache","flu,cold"
"fever,sore,throat,runny,nose,stuffy,ache","flu,cold"
"chill,sore,throat,runny,nose,stuffy,ache",flu
"fever,chill,sore,throat,runny,nose,stuffy,ache",flu
"cough,sore,throat,runny,nose,stuffy,ache","flu,cold"
"fever,cough,sore,throat,runny,nose,stuffy,ache","flu,cold"
"chill,cough,sore,throat,runny,nose,stuffy,ache",flu
"fever,chill,cough,sore,throat,runny,nose,stuffy,ache",flu
headache,"flu,cold,malaria,salmonella,smallpox,covid"
"fever,headache","flu,cold,malaria,salmonella,smallpox,covid"
"chill,headache","flu,malaria,salmonella,covid"
"fever,chill,headache","flu,malaria,salmonella,covid"
"cough,headache","flu,cold,malaria,covid"
"fever,cough,headache","flu,cold,malaria,covid"
"chill,cough,headache","flu,malaria,covid"
"fever,chill,cough,headache","flu,malaria,covid"
"sore,headache","flu,cold,covid"
"fever,sore,headache","flu,cold,covid"
"chill,sore,headache","flu,covid"
"fever,chill,sore,headache","flu,covid"
"cough,sore,headache","flu,cold,covid"
"fever,cough,sore,headache","flu,cold,covid"
"chill,cough,sore,headache","flu,covid"
"fever,chill,cough,sore,headache","flu,covid"
"throat,headache","flu,cold,covid"
"fever,throat,headache","flu,cold,covid"
"chill,throat,headache","flu,covid"
"fever,chill,throat,headache","flu,covid"
"cough,throat,headache","flu,cold,covid"
"fever,cough,throat,headache","flu,cold,covid"
"chill,cough,throat,headache","flu,covid"
"fever,chill,cough,throat,headache","flu,covid"
"sore,throat,headache","flu,cold,covid"
"fever,sore,throat,headache","flu,cold,covid"
"chill,sore,throat,headache","flu,covid"
"fever,chill,sore,throat,headache","flu,covid"
"cough,sore,throat,headache","flu,cold,covid"
"fever,cough,sore,throat,headache","flu,cold,covid"
"chill,cough,sore,throat,headache","flu,covid"
"fever,chill,cough,sore,throat,headache","flu,covid"
"runny,headache","flu,cold"
"fever,runny,headache","flu,cold"
"chill,runny,headache",flu
"fever,chill,runny,headache",flu
"cough,runny,headache","flu,cold"
"fever,cough,runny,headache","flu,cold"
"chill,cough,runny,headache",flu
"fever,chill,cough,runny,headache",flu
"sore,runny,headache","flu,cold"
"fever,sore,runny,headache","flu,cold"
"chill,sore,runny,headache",flu
"fever,chill,sore,runny,headache",flu
"cough,sore,runny,headache","flu,cold"
"fever,cough,sore,runny,headache","flu,cold"
"chill,cough,sore,runny,headache",flu
"fever,chill,cough,sore,runny,headache",flu
"throat,runny,headache","flu,cold"
"fever,throat,runny,headache","flu,cold"
"chill,throat,runny,headache",flu
"fever,chill,throat,runny,headache",flu
"cough,throat,runny,headache","flu,cold"
"fever,cough,throat,runny,headache","flu,cold"
"chill,cough,throat,runny,headache",flu
"fever,chill,cough,throat,runny,headache",flu
"sore,throat,runny,headache","flu,cold"
"fever,sore,throat,runny,headache","flu,cold"
"chill,sore,throat,runny,headache",flu
"fever,chill,sore,throat,runny,headache",flu
"cough,sore,throat,runny,headache","flu,cold"
"fever,cough,sore,throat,runny,headache","flu,cold"
"chill,cough,sore,throat,runny,headache",flu
"fever,chill,cough,sore,throat,runny,headache",flu
"nose,headache","flu,cold"
"fever,nose,headache","flu,cold"
"chill,nose,headache",flu
"fever,chill,nose,headache",flu
"cough,nose,headache","flu,cold"
"fever,cough,nose,headache","flu,cold"
"chill,cough,nose,headache",flu
"fever,chill,cough,nose,headache",flu
"sore,nose,headache","flu,cold"
"fever,sore,nose,headache","flu,cold"
"chill,sore,nose,headache",flu
"fever,chill,sore,nose,headache",flu
"cough,sore,nose,headache","flu,cold"
"fever,cough,sore,nose,headache","flu,cold"
"chill,cough,sore,nose,headache",flu
"fever,chill,cough,sore,nose,headache",flu
"throat,nose,headache","flu,cold"
"fever,throat,nose,headache","flu,cold"
"chill,throat,nose,headache",flu
"fever,chill,throat,nose,headache",flu
"cough,throat,nose,headache","flu,cold"
"fever,cough,throat,nose,headache","flu,cold"
"chill,cough,throat,nose,headache",flu
"fever,chill,cough,throat,nose,headache",flu
"sore,throat,nose,headache","flu,cold"
"fever,sore,throat,nose,headache","flu,cold"
"chill,sore,throat,nose,headache",flu
"fever,chill,sore,throat,nose,headache",flu
"cough,sore,throat,nose,headache","flu,cold"
"fever,cough,sore,throat,nose,headache","flu,cold"
"chill,cough,sore,throat,nose,headache",flu
"fever,chill,cough,sore,throat,nose,headache",flu
"runny,nose,headache","flu,cold"
"fever,runny,nose,headache","flu,cold"
"chill,runny,nose,headache",flu
"fever,chill,runny,nose,headache",flu
"cough,runny,nose,headache","flu,cold"
"fever,cough,runny,nose,headache","flu,cold"
"chill,cough,runny,nose,headache",flu
"fever,chill,cough,runny,nose,headache",flu
"sore,runny,nose,headache","flu,cold"
"fever,sore,runny,nose,headache","flu,cold"
"chill,sore,runny,nose,headache",flu
"fever,chill,sore,runny,nose,headache",flu
"cough,sore,runny,nose,headache","flu,cold"
"fever,cough,sore,runny,nose,headache","flu,cold"
"chill,cough,sore,runny,nose,headache",flu
"fever,chill,cough,sore,runny,nose,headache",flu
"throat,runny,nose,headache","flu,cold"
"fever,throat,runny,nose,headache","flu,cold"
"chill,throat,runny,nose,headache",flu
"fever,chill,throat,runny,nose,headache",flu
"cough,throat,runny,nose,headache","flu,cold"
"fever,cough,throat,runny,nose,headache","flu,cold"
"chill,cough,throat,runny,nose,headache",flu
"fever,chill,cough,throat,runny,nose,headache",flu
"sore,throat,runny,nose,headache","flu,cold"
"fever,sore,throat,runny,nose,headache","flu,cold"
"chill,sore,throat,runny,nose,headache",flu
"fever,chill,sore,throat,runny,nose,headache",flu
"cough,sore,throat,runny,nose,headache","flu,cold"
"fever,cough,sore,throat,runny,nose,headache","flu,cold"
"chill,cough,sore,throat,runny,nose,headache",flu
"fever,chill,cough,sore,throat,runny,nose,headache",flu
"stuffy,headache","flu,cold"
"fever,stuffy,headache","flu,cold"
"chill,stuffy,headache",flu
"fever,chill,stuffy,headache",flu
"cough,stuffy,headache","flu,cold"
"fever,cough,stuffy,headache","flu,cold"
"chill,cough,stuffy,headache",flu
"fever,chill,cough,stuffy,headache",flu
"sore,stuffy,headache","flu,cold"
"fever,sore,stuffy,headache","flu,cold"
"chill,sore,stuffy,headache",flu
"fever,chill,sore,stuffy,headache",flu
"cough,sore,stuffy,headache","flu,cold"
"fever,cough,sore,stuffy,headache","flu,cold"
"chill,cough,sore,stuffy,headache",flu
"fever,chill,cough,sore,stuffy,headache",flu
"throat,stuffy,headache","flu,cold"
"fever,throat,stuffy,headache","flu,cold"
"chill,throat,stuffy,headache",flu
"fever,chill,throat,stuffy,headache",flu
"cough,throat,stuffy,headache","flu,cold"
"fever,cough,throat,stuffy,headache","flu,cold"
"chill,cough,throat,stuffy,headache",flu
"fever,chill,cough,throat,stuffy,headache",flu
